"row","productCode","error"
"Neev Electric Kapoor Dani (row 4)","0004-1","Variant with same attributes already exists for product Neev Electric Kapoor Dani"
"Ice Face Roller Massager (row 5)","0011-1","Variant with same attributes already exists for product Ice Face Roller Massager"
"Clapping Ghungroo (row 2)","0001-1","Variant with same attributes already exists for product Clapping Ghungroo"
"Kapoor Dani (row 3)","0003-1","Variant with same attributes already exists for product Kapoor Dani"
"Bluetooth Speaker with 2 Wireless Mics (row 6)","0013-1","Variant with same attributes already exists for product Bluetooth Speaker with 2 Wireless Mics"
