"row","productCode","error"
"Kapoor Dani (row 3)","0003-1","Failed to upload image after 3 attempts: Cloudinary upload error: Unknown API key your_cloudinary_api_key"
"Neev Electric Kapoor Dani (row 4)","0004-1","Failed to upload image after 3 attempts: Cloudinary upload error: Unknown API key your_cloudinary_api_key"
"Ice Face Roller Massager (row 5)","0011-1","Failed to upload image after 3 attempts: Cloudinary upload error: Unknown API key your_cloudinary_api_key"
"Clapping Ghungroo (row 2)","0001-1","Failed to upload image after 3 attempts: Cloudinary upload error: Unknown API key your_cloudinary_api_key"
"Bluetooth Speaker with 2 Wireless Mics (row 6)","0013-1","Failed to upload image after 3 attempts: Cloudinary upload error: Unknown API key your_cloudinary_api_key"
